Row ID,Order ID,Customer Name,Quantity,Discount,Profit
36,CA-2016-117590,Gene Hale,7,0.2,123.4737
37,CA-2016-117590,Gene Hale,5,0.6,-147.963
38,CA-2015-117415,Steve Nguyen,9,0.2,35.415
39,CA-2015-117415,Steve Nguyen,3,0.32,-46.9764
40,CA-2015-117415,Steve Nguyen,3,0.3,-15.147
41,CA-2015-117415,Steve Nguyen,4,0.2,41.7564
42,CA-2017-120999,Linda Cazamias,4,0.2,16.5564
43,CA-2016-101343,Ruben Ausman,2,0,3.894
44,CA-2017-139619,Erin Smith,2,0.2,9.5616
45,CA-2016-118255,Odella Nelson,2,0,19.7714
46,CA-2016-118255,Odella Nelson,2,0,8.2062
47,CA-2014-146703,Patrick O'Donnell,4,0,8.4784
48,CA-2016-169194,Lena Hernandez,3,0,4.95
49,CA-2016-169194,Lena Hernandez,2,0,6.104
50,CA-2015-115742,Darren Powers,6,0,17.9634
51,CA-2015-115742,Darren Powers,6,0,35.3346
52,CA-2015-115742,Darren Powers,2,0,2.9568
53,CA-2015-115742,Darren Powers,1,0,17.0981
54,CA-2016-105816,Janet Molinari,7,0,6.2566
55,CA-2016-105816,Janet Molinari,5,0,298.6855
56,CA-2016-111682,Ted Butterfield,6,0,52.14
57,CA-2016-111682,Ted Butterfield,5,0,15.552
58,CA-2016-111682,Ted Butterfield,5,0.1,7.098
59,CA-2016-111682,Ted Butterfield,2,0,6.9888
60,CA-2016-111682,Ted Butterfield,2,0,3.3
61,CA-2016-111682,Ted Butterfield,4,0.2,16.362
62,CA-2016-111682,Ted Butterfield,1,0,0.84
63,CA-2015-135545,Kunst Miller,2,0,6.1512
64,CA-2015-135545,Kunst Miller,6,0.2,9.3612
65,CA-2015-135545,Kunst Miller,3,0,68.9631
66,CA-2015-135545,Kunst Miller,4,0,22.3328
67,US-2015-164175,Paul Stevenson,5,0.3,-15.2225
68,CA-2014-106376,Brendan Sweed,8,0.2,111.3024
69,CA-2014-106376,Brendan Sweed,4,0.2,62.988
70,CA-2016-119823,Karen Daniels,2,0,35.6636
71,CA-2016-106075,Henry MacAllister,1,0.2,1.731
72,CA-2017-114440,Tracy Blumstein,3,0,8.763
73,US-2015-134026,Joel Eaton,8,0.2,-114.3912
74,US-2015-134026,Joel Eaton,2,0.2,1.213
75,US-2015-134026,Joel Eaton,1,0.2,-18.196
76,US-2017-118038,Ken Brennan,3,0.8,-1.9344
77,US-2017-118038,Ken Brennan,3,0.6,-5.8248
78,US-2017-118038,Ken Brennan,3,0.2,2.724
79,US-2014-147606,Joel Eaton,5,0.6,-14.475
80,CA-2016-127208,Stewart Carmichael,1,0,56.2032
81,CA-2016-127208,Stewart Carmichael,3,0,8.0352
82,CA-2014-139451,Duane Noonan,5,0,4.172
83,CA-2014-139451,Duane Noonan,1,0,6.2031
84,CA-2015-149734,Julie Creighton,7,0.2,62.8075
85,US-2017-119662,Christopher Schild,3,0.2,-48.9549
86,CA-2017-140088,Patrick O'Donnell,2,0,33.2156
87,CA-2017-155558,Paul Gonzalez,1,0,6.7966
88,CA-2017-155558,Paul Gonzalez,2,0,2.9568
89,CA-2016-159695,Gary Mitchum,7,0.2,13.8572
90,CA-2016-109806,Jim Sink,3,0,6.633
91,CA-2016-109806,Jim Sink,2,0.2,8.2782
92,CA-2016-109806,Jim Sink,1,0,3.1104
93,CA-2015-149587,Karl Braun,2,0,6.2208
94,CA-2015-149587,Karl Braun,3,0,16.5354
95,CA-2015-149587,Karl Braun,2,0,16.1504
96,US-2017-109484,Roger Barcio,1,0.7,-3.788
97,CA-2017-161018,Parhena Norris,7,0,40.5426
98,CA-2017-157833,Katherine Ducich,3,0.2,17.9592
99,CA-2016-149223,Elpida Rittenbach,6,0,22.5852
100,CA-2016-158568,Rick Bensley,7,0.2,22.6184
